,max,base,f1,f2,ppr,it,wormhole,suc0,unsuc0,suc1,unsuc1,suc2,unsuc2,pct,fail_Blitz,fail_LN,ratio,wormholeBTC
,3000,0,0.0125,0.0125,50,4,24544731,791120,187330,725545,252905,806076,172374,0.740712916,,,,
,3000,0,0.0125,0.0125,50,5,24541708,792807,185643,725555,252895,805808,172642,0.734071453,,,,
,3000,0,0.0125,0.0125,50,6,24549873,795311,183139,723459,254991,805899,172551,0.718217506,,,,
,3000,0,0.0125,0.0125,50,7,24550750,801196,177254,727544,250906,805932,172518,0.706455804,,,,
Average,3000,0,0.0125,0.0125,50,3.5,24547899.75,796571,181879,725272.375,253177.625,805848.375,172601.625,0.718382849,9277.375,80576,8.685215376,0.245478998
,6000,0,0.0025,0.0025,4,0,2183376,74233,4043,74165,4111,74227,4049,0.983459012,,,,
,6000,0,0.0025,0.0025,4,1,2179549,74264,4012,74182,4094,74272,4004,0.979970689,,,,
,6000,0,0.0025,0.0025,4,2,2185297,74204,4072,74163,4113,74243,4033,0.990031607,,,,
,6000,0,0.0025,0.0025,4,3,2173055,74319,3957,74276,4000,74327,3949,0.98925,,,,
,6000,0,0.0025,0.0025,4,4,2182260,74189,4087,74129,4147,74185,4091,0.98553171,,,,
,6000,0,0.0025,0.0025,4,5,2173606,74270,4006,74217,4059,74281,3995,0.986942597,,,,
,6000,0,0.0025,0.0025,4,6,2178492,74262,4014,74207,4069,74255,4021,0.986483165,,,,
,6000,0,0.0025,0.0025,4,7,2181479,74229,4047,74198,4078,74245,4031,0.992398234,,,,
Average,6000,0,0.0025,0.0025,4,3.5,2179639.25,74246.25,4029.75,74192.125,4083.875,74254.375,4021.625,0.986758377,8.125,62.25,7.661538462,0.021796393
,6000,0,0.0025,0.0025,50,0,27293117,766760,211690,734360,244090,767923,210527,0.867262075,,,,
,6000,0,0.0025,0.0025,50,1,27264801,766980,211470,754119,224331,767970,210480,0.942669537,,,,
,6000,0,0.0025,0.0025,50,2,27307143,766856,211594,733695,244755,768022,210428,0.864513493,,,,
,6000,0,0.0025,0.0025,50,3,27281165,767818,210632,732497,245953,768926,209524,0.856391262,,,,
,6000,0,0.0025,0.0025,50,4,27301187,767852,210598,735505,242945,768616,209834,0.866854638,,,,
,6000,0,0.0025,0.0025,50,5,27267648,767966,210484,734461,243989,769195,209255,0.862678235,,,,
,6000,0,0.0025,0.0025,50,6,27272832,766741,211709,732488,245962,767790,210660,0.860738651,,,,
,6000,0,0.0025,0.0025,50,7,27255642,766926,211524,734920,243530,767921,210529,0.868574714,,,,
Average,6000,0,0.0025,0.0025,50,3.5,27280441.88,767237.375,211212.625,736505.625,241944.375,768295.375,210154.625,0.873710326,1058,31789.75,30.04702268,0.272804419
,6000,0,0.005,0.005,4,0,2180623,74190,4086,74067,4209,74207,4069,0.970776907,,,,
,6000,0,0.005,0.005,4,1,2177050,74240,4036,74099,4177,74257,4019,0.966243716,,,,
,6000,0,0.005,0.005,4,2,2182434,74207,4069,74077,4199,74244,4032,0.969040248,,,,
,6000,0,0.005,0.005,4,3,2170324,74310,3966,74186,4090,74322,3954,0.969682152,,,,
,6000,0,0.005,0.005,4,4,2179619,74161,4115,74061,4215,74193,4083,0.976275208,,,,
,6000,0,0.005,0.005,4,5,2170977,74223,4053,74125,4151,74260,4016,0.976391231,,,,
,6000,0,0.005,0.005,4,6,2175790,74219,4057,74090,4186,74250,4026,0.969182991,,,,
,6000,0,0.005,0.005,4,7,2178763,74214,4062,74100,4176,74225,4051,0.972701149,,,,
Average,6000,0,0.005,0.005,4,3.5,2176947.5,74220.5,4055.5,74100.625,4175.375,74244.75,4031.25,0.9712867,24.25,144.125,5.943298969,0.021769475
,6000,0,0.005,0.005,50,0,27294465,764529,213921,701837,276613,767662,210788,0.773358447,,,,
,6000,0,0.005,0.005,50,1,27264333,764791,213659,700972,277478,768354,210096,0.770003388,,,,
,6000,0,0.005,0.005,50,2,27309090,766323,212127,701810,276640,768215,210235,0.766798005,,,,
,6000,0,0.005,0.005,50,3,27281767,766418,212032,700523,277927,768800,209650,0.762905367,,,,
