nid,openchannels,capacity
456,3,286988
457,0,0
458,0,0
459,2,300000
460,2,112000
461,1,169000
462,4,400000
463,0,0
464,0,0
465,1,110258
466,1,97942
467,0,0
468,0,0
469,6,17081321
470,0,0
471,1,25000
472,0,0
473,0,0
474,19,126339293
475,0,0
476,1,20000
477,1,90000
478,2,106965
479,0,0
480,2,1020000
481,0,0
482,0,0
483,6,1610080
484,0,0
485,7,5259866
486,5,2478702
487,18,47423152
488,0,0
489,4,11000
490,0,0
491,6,636689
492,0,0
493,1,341835
494,5,51318467
495,2,4539630
496,0,0
497,3,300000
498,0,0
499,6,14011939
500,0,0
501,2,110000
502,1,87783
503,1,60000
504,0,0
505,17,52314339
506,1,5000000
507,0,0
508,0,0
509,0,0
510,1,120000
511,1,120434
512,7,251337
513,1,250000
514,0,0
515,0,0
516,0,0
517,0,0
518,6,7282529
519,38,35067177
520,3,3999810
521,3,7500
522,0,0
523,3,13000000
524,1,60000
525,8,3506749
526,3,9000079
527,1,95255
528,44,100320899
529,2,450000
530,1,60000
531,1,29712
532,0,0
533,2,2000000
534,325,633352367
535,1,100000
536,1,100000
537,1,20000
538,0,0
539,1,60000
540,2,90000
541,1,10000
542,5,14097351
543,0,0
544,0,0
545,0,0
546,5,857197
547,0,0
548,0,0
549,1,40000
550,2,550000
551,0,0
552,0,0
553,3,1060753
554,3,233680
555,21,30219591
556,0,0
557,0,0
558,0,0
559,3,2250000
560,1,135228
561,1,100000
562,1,100000
563,2,320000
564,2,107184
565,3,1927822
566,1,2000
567,19,57597806
568,4,979473
569,3,160000
570,1053,662744694
571,1,100000
572,3,2150000
573,1,100000
574,1,71582
575,3,2078486
576,4,2060928
577,1,60000
578,0,0
579,0,0
580,0,0
581,1,100000
582,0,0
583,1,400000
584,4,2961784
585,52,52308708
586,0,0
587,6,12329999
588,0,0
589,10,963528
590,2,1780000
591,1,500000
592,0,0
593,5,5124857
594,0,0
595,10,184800
596,3,315191
597,0,0
598,2,3200000
599,3,370000
600,1,40000
601,2,511366
602,3,22000
603,4,7300000
604,1,106793
605,4,312897
606,1,100000
607,6,24763122
608,0,0
609,0,0
610,9,2350000
611,0,0
612,1,500000
613,45,132162113
614,1,1243230
615,0,0
616,2,384198
617,0,0
618,2,497707
619,1,1500000
620,1,37073
621,0,0
622,62,125567017
623,1,60000
624,5,3582562
625,1,100000
626,2,307407
627,1,20000
628,6,3587558
629,1,203411
630,1,100000
631,1,590000
632,0,0
633,8,21977215
634,3,202284
635,3,2070000
636,3,6800362
637,0,0
638,1,5000000
639,0,0
640,0,0
641,2,683063
642,1,259011
643,3,7040000
644,1,100000
645,8,268800
646,2,1551188
647,1,50000
648,17,1510600
649,2,2500000
650,4,351240
651,1,1000000
652,4,3392001
653,1,345199
654,20,123551620
655,5,5900000
656,3,7026900
657,0,0
658,2,1100000
659,0,0
660,0,0
661,0,0
662,4,1830242
663,3,1250000
664,0,0
665,0,0
666,1,16000
667,5,3470000
668,4,3591043
669,0,0
670,2,8343586
671,4,206500
672,3,364292
673,0,0
674,0,0
675,3,293395
676,0,0
677,1,100000
678,1,1500
679,13,7545450
680,1,200000
681,5,467840
682,1,2000
683,15,51835423
684,2,5176747
685,0,0
686,1,100000
687,42,2280254734
688,0,0
689,1,100000
690,3,2965806
691,0,0
692,0,0
693,4,400000
694,5,2451337
695,1,60000
696,2,140000
697,55,103019705
698,0,0
699,0,0
700,22,26485679
701,0,0
702,0,0
703,0,0
704,9,16094202
705,3,341000
706,14,4564958
707,0,0
708,0,0
